cell_type;weighted_degree
MUSlong_D;10
circumchaetal;5
circumacicular;18
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;10
MUSlong_D;10
circumchaetal;5
circumacicular;17
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;10
MUSlong_D;10
circumchaetal;4
circumacicular;17
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;9
MUSlong_D;10
circumchaetal;4
circumacicular;15
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;9
MUSlong_D;10
circumchaetal;4
circumacicular;15
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;9
MUSlong_D;10
circumchaetal;4
circumacicular;15
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;9
MUSlong_D;10
circumchaetal;4
circumacicular;14
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;9
MUSlong_D;10
circumchaetal;4
circumacicular;12
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;9
MUSlong_D;9
circumchaetal;4
circumacicular;12
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;9
MUSlong_D;8
circumchaetal;4
circumacicular;12
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;8
MUSlong_D;8
circumchaetal;3
circumacicular;12
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;8
MUSlong_D;8
circumchaetal;3
circumacicular;10
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;8
MUSlong_D;8
circumchaetal;2
circumacicular;8
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;8
MUSlong_D;8
circumchaetal;2
circumacicular;4
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;8
MUSlong_D;8
circumchaetal;1
circumacicular;3
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;8
MUSlong_D;7
circumchaetal;NA
circumacicular;2
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;7
MUSlong_D;7
circumchaetal;NA
circumacicular;NA
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;7
MUSlong_D;7
circumchaetal;NA
circumacicular;NA
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;7
MUSlong_D;7
circumchaetal;NA
circumacicular;NA
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;7
MUSlong_D;7
circumchaetal;NA
circumacicular;NA
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;6
MUSlong_D;6
circumchaetal;NA
circumacicular;NA
MUSchae_notAac;NA
MUSchae_neuDac;NA
MUSac_notM/P/A;NA
aciculae;NA
MUSlong_V;6
MUSlong_D;6
circumchaetal;NA
circumacicular;NA
