"","connector","x","y","z","skid1","skid2"
"11441",6952400,71582.14,122758.42,159960,1997938,1943425
"11442",6952402,71768.76,122701.44,159960,1943425,1997938
"11443",6952408,35081.133,120154.76,160000,1403075,1952077
"11444",6952410,36002.113,121488.45,159960,1403084,1952077
"11445",6952413,36506.965,121268.04,159960,1403084,1823451
"11446",6952414,36322.355,121390,159960,1823451,1403084
"11447",6952415,36584.434,121060.81,159960,1403084,1823451
"11448",6952418,35231.51,120117.08,159960,1403075,1952077
"11449",6952419,34167.594,120148.125,159880,1393334,1952077
"11450",6952421,34363.223,120081.3,159880,1952077,1393334
"11451",6952435,31691.287,118751.67,160000,1393309,1934020
"11452",6952436,33247.562,119317.77,160000,1934020,1393309
"11453",6952442,73846.32,105998.5,159960,2010812,1576508
"11454",6952443,26182.299,105398.23,162000,1400474,1646462
"11455",6952445,59883.56,121041.79,162000,1943425,1474367
"11456",6952450,61776.742,120989.695,162000,1943425,1474367
"11457",6952499,93422.72,93040.6,162000,2149456,1646547
"11458",6952511,48573.32,82679.734,162040,578783,1949384
"11459",6952513,48722.293,82886.88,162040,1423327,1949384
"11460",6952514,48344.242,83232.3,162040,1949384,1423327
"11461",6952516,45488.58,85255.52,162040,1626075,1949384
"11462",6952517,46661.19,84205.62,162040,1626318,1949384
"11463",6952519,46520.676,84304.57,162040,1626318,1949384
"11464",6952544,44251.234,87596.28,162040,1949384,1626075
"11465",6952550,44370.6,88293.75,162040,1949384,1570796
"11466",6952553,46140.953,87130.6,164000,1949384,1570796
"11467",6952555,46796.812,86499.04,164000,1949384,1626498
"11468",6952566,45898.676,86659.49,163360,1626129,1570796
"11469",6952592,65927.125,112230.67,164040,1392222,1622250
"11470",6952593,65912.98,111248.92,164040,1622250,1392222
"11471",6952597,59841.703,77812.41,162000,1420472,1944083
"11472",6952598,48585.797,92095.35,166000,2149515,1279584
"11473",6952604,49722.85,91673.09,166000,1626478,2149515
"11474",6952605,49118.6,91918.22,166000,2149515,1626478
"11475",6952606,49231.95,92261.92,166000,1279584,2149515
"11476",6952630,60266.734,88938.53,166000,1631006,2149515
"11477",6952636,62136.867,89603.72,166000,1621096,2149515
"11478",6952637,61991.023,90388.26,166000,2149515,1392222
"11479",6952638,61447.188,90432.734,166000,1392222,2149515
