desmo_id,x,y,z,partner1,partner2
6833680,110034.66,78260.37,95400,1989619,1631633
6833699,109990.35,77911.64,95120,1647048,1631633
6833713,94474.81,85843.79,86920,1987894,1629188
6833715,94689.65,91300.73,86880,1629613,1399532
6833717,98254.266,102153.01,86880,1628861,1399532
6833718,98685.99,102697.59,86880,1399532,1628861
6833719,99385.29,103646.68,86880,1628861,1399532
6833720,96081.18,99149.47,87000,1399532,1391754
6833722,96395.35,99707.234,87000,1391754,1399532
6833723,97493.836,101018.27,87000,1399532,1391754
6833724,94035.33,93623.08,87000,1601839,1399532
6833725,94350.375,94674.39,87000,1399532,1601839
6833793,95131.69,82814.31,99360,1364858,1989730
6833832,92439.375,85496.78,100680,1364825,1989754
6833899,95396.336,77279.1,103000,1989780,1631633
6833901,94907.59,77627.06,102880,1989780,1733592
6833903,90650.24,82351.73,102880,1952617,1733592
6833905,91003.02,81959.48,102880,1952617,1733592
6833945,92313.625,80413.49,102960,1952617,1733592
6834009,108097.89,78948.945,111520,1989825,1989780
6834033,106520.516,81942.3,110280,1587010,1631633
6834038,106810.4,82299.62,110520,1631633,1587010
6834050,108281.23,83351.01,111480,1587010,1633569
6834067,110649.66,85333.51,111240,1633569,1587010
6834099,103744.74,80423.66,108920,1631633,1587010
6834100,103668.25,82616.73,108920,1633938,1952642
6834106,105567.08,84430.67,108920,1633890,1952651
6834109,103753.336,83847.53,108920,1633938,1952651
6834110,108127.375,84187.305,108920,1633532,1952651
6834111,110950.1,84619.95,108920,1844629,1633532
6834114,111215.984,84998.9,108920,1844629,1633532
6834117,112432.695,85952.64,108920,1844629,1631578
6834118,112509.1,86317.516,108920,1631578,1844629
6834130,113029.95,86644.54,108160,1937858,1633569
6834178,98124.96,83129.94,101680,1364858,1987478
6834179,97005.234,82553.76,101680,2146190,1987478
6834260,21129.496,93314.52,108760,1987598,1783653
6834262,22105.955,93882.945,108760,1545004,1987598
6834269,24395.998,93261.96,104320,1989986,1783653
6834270,26040.213,91919.94,103080,1989959,1783653
6834386,38156.383,87013.6,84080,1989965,1989959
6834447,26573.123,92141.28,101800,1989986,1783653
6834490,38187.094,87834.66,89840,1944498,1559897
6834492,38290.02,87949.234,89840,1559897,1944498
6834496,23723.36,92601.08,110600,1786889,1628320
6834508,24543.11,92336.734,109240,1628320,1786889
6834512,23155.812,93660.52,109240,1545004,1786889
6834513,22633.28,93788.516,109240,1786889,1545004
6834514,26594.127,91954.016,105960,1990020,1628320
6834585,19989.707,92029.15,107640,1990051,1703174
6834716,22434.607,93602.914,104000,1703174,1990097
6834726,22691.953,93998.72,103760,1545016,1990097
6834730,21354.822,93413.04,103760,1544994,1990097
6834738,23300.58,93539.64,102840,1703174,1990097
6834942,21508.834,91657.875,107680,1990218,1621573
6835027,22112.45,89789.4,106200,1948847,1620655
6835034,20615.518,91778.36,106160,1948847,1990240
6835037,20418.72,91977.65,106120,1545004,1990240
6835042,20669.781,92366.72,106120,1990240,1990218
6835052,23184.994,89703.336,105840,1620655,1948847
6835062,22043.723,94068.16,106880,1990218,1545004
6835063,22305.773,91469.336,105360,1621573,1990218
6835065,23003.365,91966.234,102440,1990271,1621573
6835072,22506.957,91028.01,102440,1990271,1621573
6835122,23063.496,91576.51,101440,1621573,1990271
6835123,22639.695,92993.62,101440,1545016,1990271
6835220,24067.754,90926.57,98760,1990271,1621573
6835250,23147.42,89436.26,107320,1948847,1620655
6835258,23288.662,89412.13,100800,1990331,1620655
6835379,19393.912,89038.55,100640,1544994,1990331
6835383,23367.07,89053.04,99200,1620655,1983416
6835384,23573.613,88473.195,96360,1990331,1620655
6835386,28651.67,84254.04,87560,1990363,1816093
6835442,24774.143,90847.27,98800,1621573,1990363
6835487,18057.486,88769.82,106080,1990390,1545266
6835533,20033.068,88969.375,103880,1990405,1621330
6835546,19838.36,90458.51,102800,1990405,1545004
6835553,19895.14,90037.36,102080,1545004,1990405
6835563,19986.988,90236.66,101440,1544994,1990405
6835614,20197.375,89276.2,102280,1990405,1621330
6835616,21285.992,90111.91,102000,1990405,1621330
6835618,21226.986,90904.4,101080,1990846,1621330
6835634,33524.49,88676.484,86640,1990433,1990363
6835641,34947.316,88670.586,86640,1989959,1990433
6835644,31740.459,89371.94,87120,1990363,1990433
6835650,30960.566,89841.37,87720,1990363,1990433
6835654,32031.557,89666.55,88000,1989959,1990433
6835673,20514.238,80993.45,106000,1990454,1990449
6835684,19004.166,82620.21,104400,1545266,1990449
6835697,19493.26,84019.95,104920,1948836,1545266
6835708,19330.982,82316.84,104480,1990449,1545266
6835709,19748.975,83629.516,104480,1545266,1990449
6835721,20662.762,87183.47,103800,1621314,1990477
6835728,19145.031,89653.26,103040,1990477,1545004
6835782,20589.025,87271.6,100040,1621314,1937576
6835792,28063.11,84578.57,115120,1588269,1945218
6835794,28003.373,83825,115120,1504468,1945218
6835795,29094.895,85311.04,115080,1589904,1945218
6835798,28207.074,82681.51,115080,1819927,1504346
6835809,25591.611,81221.875,112600,1972393,1588269
6835810,25826.662,81339.38,112600,1588269,1972393
6835811,26220.562,81397.37,112600,1972393,1588269
6835815,27908.889,82763.54,112600,1589904,1972393
6835896,28119.252,76406.44,106040,1948871,1589825
6835916,25222.143,85299.375,105960,1937654,1620646
6835941,21377.736,84356.14,104240,1937654,1545266
6835963,22197.39,83989.29,103600,1937654,1545266
6835964,21555.164,84566.83,103600,1545266,1937654
6835985,24556.252,84021.12,103880,1620646,1937654
6835987,24937.154,84741.58,103000,1620646,1937654
6835992,23005.615,84672.17,102000,1620646,1977338
6835993,23068.113,84354.68,102000,1977338,1620646
6835994,23398.908,83969.086,99080,1990575,1620646
6836045,24760.104,83937.41,101680,1620646,1990575
6836060,22976.973,85626.09,99080,1977338,1620646
6836094,26876.566,88125.67,117520,1382011,1990601
6836138,26726.938,86768.79,117480,1945218,1504346
6836166,27049.58,85371.13,116400,1990308,1504468
6836167,27059.715,85559.81,116400,1990308,1504468
6836175,27997.127,83189.49,115240,1819927,1504468
6836183,26836.947,85635.445,117000,1990308,1504468
6836185,28274.47,85120.95,117000,1819927,1504346
6836232,26735.2,86592.55,117320,1504346,1945218
6836234,27006.953,86811.04,116920,1382011,1945218
6836241,28471.455,85644.72,108640,1620651,1948859
6836244,29217.783,85712.984,105960,1620651,1948859
6836245,27882.553,85599.5,103920,1990679,1620651
6836247,27903.33,84959.52,103920,1620651,1990679
6836284,21964.426,83060.47,102560,1937654,1545266
