Id;Label;timeset;type;outline;outline_width;name;unit_id;Weighted Degree;Cluster
2298;1991471;;ellipse;"#000000";1;hemichaetal_sg2r_neuro-10_2;1991471;14;9
2299;1991540;;ellipse;"#000000";1;noER_circumchaetal_sg2r_neuro-3_3;1991540;3;9
2300;1991615;;ellipse;"#000000";1;noER_circumchaetal_sg2r_neuro-4_4;1991615;1;2
2301;1991620;;ellipse;"#000000";1;basal lamina;1991620;2;2
2302;1991714;;ellipse;"#000000";1;hemichaetal_sg2r_neuro-6_2;1991714;9;9
2303;1991797;;ellipse;"#000000";1;hemichaetal_sg2r_neuro-8_1;1991797;1;2
2304;1991811;;ellipse;"#000000";1;hemichaetal_sg2r_neuro-8_2;1991811;2;2
2305;1991875;;ellipse;"#000000";1;hemichaetal_sg2r_neuro-10_1;1991875;1;9
2306;1991934;;ellipse;"#000000";1;hemichaetal_sg2r_neuro-4_1;1991934;2;2
2307;1992051;;ellipse;"#000000";1;noER_circumchaetal_sg3r_noto-1_4;1992051;4;0
2308;1992114;;ellipse;"#000000";1;basal lamina;1992114;2;0
2309;1992141;;ellipse;"#000000";1;hemichaetal_sg3r_noto-2_1;1992141;8;0
2310;1992178;;ellipse;"#000000";1;hemichaetal_sg3r_noto-1_1;1992178;9;0
2311;1992224;;ellipse;"#000000";1;noER_circumchaetal_sg3r_noto-2_4;1992224;2;0
2312;1992242;;ellipse;"#000000";1;EC_circumchaetal_sg3r_noto-3_4;1992242;2;0
2313;1992313;;ellipse;"#000000";1;circumchaetal_sg3r_noto-3_2;1992313;27;0
2314;1992407;;ellipse;"#000000";1;basal lamina;1992407;2;0
2315;1992417;;ellipse;"#000000";1;EC_circumchaetal_sg3r_noto-5_5;1992417;3;0
2316;1992448;;ellipse;"#000000";1;basal lamina;1992448;11;0
2317;1992455;;ellipse;"#000000";1;ER_circumchaetal_sg3r_noto-5_3;1992455;15;0
2318;1992486;;ellipse;"#000000";1;EC_circumchaetal_sg3r_noto-6_5;1992486;1;0
2319;1992544;;ellipse;"#000000";1;noER_circumchaetal_sg3r_noto-7_4;1992544;2;0
2320;1992601;;ellipse;"#000000";1;circumchaetal_sg3r_noto-8_3;1992601;2;0
2321;1992619;;ellipse;"#000000";1;hemichaetal_sg3r_noto-8_2;1992619;2;0
2322;1992636;;ellipse;"#000000";1;EC_circumchaetal_sg3r_noto-9_5;1992636;2;0
2323;1992746;;ellipse;"#000000";1;ER_circumchaetal_sg3r_noto-9_3;1992746;2;0
2324;1992795;;ellipse;"#000000";1;hemichaetal_sg3r_neuro-2_2;1992795;2;10
2325;1992886;;ellipse;"#000000";1;EC_circumchaetal_sg3r_neuro-1_4;1992886;14;10
2326;1992969;;ellipse;"#000000";1;hemichaetal_sg3r_neuro-3_1;1992969;1;10
2327;1992981;;ellipse;"#000000";1;circumchaetal_sg3r_neuro-1_2;1992981;13;10
2328;1992985;;ellipse;"#000000";1;noER_circumchaetal_sg3r_neuro-1_3;1992985;2;10
2329;1993335;;ellipse;"#000000";1;hemichaetal_sg3r_neuro-6_1;1993335;6;10
2330;1993568;;ellipse;"#000000";1;circumchaetal_sg3l_neuro-2_3;1993568;13;1
2331;1993573;;ellipse;"#000000";1;basal lamina;1993573;4;1
2332;1993595;;ellipse;"#000000";1;basal lamina;1993595;5;1
2333;1993765;;ellipse;"#000000";1;noER_circumchaetal_sg3l_neuro-4_1;1993765;2;1
2334;1993819;;ellipse;"#000000";1;noER_circumchaetal_sg3l_neuro-5_4;1993819;1;1
2335;1993972;;ellipse;"#000000";1;hemichaetal_sg3l_neuro-8_2;1993972;2;12
2336;1994005;;ellipse;"#000000";1;noER_circumchaetal_sg3l_neuro-9_4;1994005;1;1
2337;1994017;;ellipse;"#000000";1;ER_circumchaetal_sg3l_neuro-9_3;1994017;1;12
2338;1994089;;ellipse;"#000000";1;hemichaetal_sg3l_neuro-2_1;1994089;1;1
2339;1994162;;ellipse;"#000000";1;circumchaetal_sg3l_noto-1_1;1994162;12;1
2340;1994173;;ellipse;"#000000";1;circumchaetal_sg3l_noto-5_3;1994173;19;1
2341;1994228;;ellipse;"#000000";1;hemichaetal_sg3l_noto-3_1;1994228;21;1
2342;1994262;;ellipse;"#000000";1;circumchaetal_sg3l_noto-2_3;1994262;8;1
2343;1994402;;ellipse;"#000000";1;hemichaetal_sg3l_noto-4_1;1994402;4;1
2344;1994423;;ellipse;"#000000";1;hemichaetal_sg3l_noto-4_2;1994423;2;1
2345;1994460;;ellipse;"#000000";1;noER_circumchaetal_sg3l_noto-5_4;1994460;1;1
2346;1994569;;ellipse;"#000000";1;EC_chaetal_sac_sg3l_noto_2;1994569;4;1
2347;1994598;;ellipse;"#000000";1;hemichaetal_sg3l_noto-7_1;1994598;4;1
2348;1994626;;ellipse;"#000000";1;ecto fragment 1994627;1994626;1;1
2349;1994689;;ellipse;"#000000";1;hemichaetal_sg3l_noto-8_2;1994689;2;1
2350;1994709;;ellipse;"#000000";1;EC_circumchaetal_sg3l_noto-9_5;1994709;3;1
2351;1994745;;ellipse;"#000000";1;ER_circumchaetal_sg3l_noto-9_3;1994745;2;1
2352;1994764;;ellipse;"#000000";1;hemichaetal_sg3l_noto-9_2;1994764;1;1
2353;1994894;;ellipse;"#000000";1;basal lamina;1994894;7;10
2354;1995167;;ellipse;"#000000";1;basal lamina;1995167;2;6
2355;1995221;;ellipse;"#000000";1;circumacicular_sg1l_neuro_1;1995221;39;6
2356;1995250;;ellipse;"#000000";1;circumacicular_sg1r_neuro_1;1995250;31;4
2357;1995570;;ellipse;"#000000";1;circumacicular_sg1l_noto_1;1995570;51;6
2358;1995586;;ellipse;"#000000";1;circumacicular_sg1r_noto_1;1995586;12;4
2359;1995624;;ellipse;"#000000";1;circumacicular_sg2l_neuro_1;1995624;23;3
2360;1995697;;ellipse;"#000000";1;circumacicular_sg2r_noto_1;1995697;34;2
2361;1995821;;ellipse;"#000000";1;basal lamina;1995821;3;1
2362;1995832;;ellipse;"#000000";1;basal lamina;1995832;3;1
2363;1995852;;ellipse;"#000000";1;circumacicular_sg3l_noto_1;1995852;49;1
2364;1996731;;ellipse;"#000000";1;circumacicular_sg2r_neuro_1;1996731;48;2
2365;1997057;;ellipse;"#000000";1;basal lamina;1997057;5;8
2366;1997310;;ellipse;"#000000";1;ecto frag 1997311;1997310;1;1
2367;1997421;;ellipse;"#000000";1;EC_V_sg3r 1997422;1997421;1;11
2368;1997612;;ellipse;"#000000";1;pygidial_pigment_cell 1997613;1997612;2;1
2369;1997982;;ellipse;"#000000";1;EC_V_sg3r 1997983;1997982;1;11
2370;1998262;;ellipse;"#000000";1;basal lamina;1998262;6;0
2371;1999563;;ellipse;"#000000";1;basal lamina;1999563;5;3
2372;1999857;;ellipse;"#000000";1;basal lamina;1999857;3;10
2373;1999901;;ellipse;"#000000";1;basal lamina;1999901;6;10
2374;1999943;;ellipse;"#000000";1;EC_V_sg1r 1568128;1999943;9;4
